name,release_date,price,genres,tags,review_count,review_score_text,review_score,platforms,developers,publishers,category_price,release_year
Sakuna: Of Rice and Ruin,2020-11-10,269000.0,"['Action', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing', 'Action', 'Indie']",4667,Very Positive,7,"['windows', 'mac', 'linux']",['Edelweiss'],"['XSEED Games', 'Marvelous USA, Inc.']",Paid,2020
Hexarchy,2023-10-19,165999.0,"['Indie', 'Simulation', 'Strategy']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Family Sharing', 'Indie', 'Simulation', 'Strategy']",816,Very Positive,7,"['windows', 'mac', 'linux']",['Main Tank Software'],"['Yogscast Games', 'Gamersky Games']",Paid,2023
Galactic Civilizations IV,2023-10-19,299999.0,"['Simulation', 'Strategy']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Family Sharing', 'Simulation', 'Strategy']",1508,Mostly Positive,5,"['windows', 'mac', 'linux']",['Stardock Entertainment'],['Stardock Entertainment'],Paid,2023
Desktop Farm,2020-07-31,28999.0,"['Casual', 'Indie', 'Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing', 'Casual', 'Indie', 'Simulation', 'Strategy']",604,Mostly Positive,5,"['windows', 'mac', 'linux']",['3dm_live_wallpapers'],['3dm_live_wallpapers'],Paid,2020
Picture Perfect,2021-06-15,130999.0,"['Casual', 'Simulation']","['Single-player', 'Family Sharing', 'Casual', 'Simulation']",255,Mostly Positive,5,"['windows', 'mac', 'linux']",['SuperWriter Games LLC'],['SuperWriter Games LLC'],Paid,2021
Arcana: Heat and Cold. Season 1,2020-10-06,39999.0,"['Adventure', 'Casual']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing', 'Adventure', 'Casual']",203,Very Positive,7,"['windows', 'mac', 'linux']","['PixelGreeds', 'HarDDeer']",['PixelGreeds'],Paid,2020
Salthe,2020-09-15,95999.0,['Adventure'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing', 'Adventure']",157,Mostly Positive,5,"['windows', 'mac', 'linux']",['Soiree'],['Shiravune'],Paid,2020
Fuga: Melodies of Steel,2021-07-28,525000.0,"['RPG', 'Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing', 'RPG', 'Simulation', 'Strategy']",1020,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['CyberConnect2'],['CyberConnect2'],Paid,2021
Metel - Horror Escape,2020-08-31,28999.0,"['Action', 'Adventure', 'Indie', 'Early Access']","['Single-player', 'Family Sharing', 'Action', 'Adventure', 'Indie', 'Early Access']",1944,Very Positive,7,"['windows', 'mac', 'linux']",['Linked Squad'],['Linked Squad'],Paid,2020
Open Hexagon,2021-11-02,39999.0,"['Action', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Partial Controller Support', 'Family Sharing', 'Action', 'Indie']",411,Very Positive,7,"['windows', 'mac', 'linux']",['Vittorio Romeo'],['Vittorio Romeo'],Paid,2021
Cooking Simulator VR,2021-07-29,119999.0,"['Casual', 'Indie', 'Simulation']","['Single-player', 'Steam Achievements', 'Tracked Controller Support', 'VR Only', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing', 'Casual', 'Indie', 'Simulation']",1291,Very Positive,7,"['windows', 'mac', 'linux']",['GameBoom VR'],"['Big Cheese Studio', 'PlayWay S.A.']",Paid,2021
City of Broken Dreamers: Book One,2020-08-07,69999.0,['Indie'],"['Single-player', 'Steam Achievements', 'Family Sharing', 'Indie']",1506,Very Positive,7,"['windows', 'mac', 'linux']",['PhillyGames'],['PhillyGames'],Paid,2020
Saint Kotar,2021-10-28,134999.0,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing', 'Adventure', 'Indie']",143,Mixed,4,"['windows', 'mac', 'linux']",['The-Mark Entertainment'],['SOEDESCO'],Paid,2021
STRANGER OF PARADISE FINAL FANTASY ORIGIN,2023-04-06,547100.0,"['Action', 'Adventure', 'RPG']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing', 'Action', 'Adventure', 'RPG']",2807,Very Positive,7,"['windows', 'mac', 'linux']","['Square Enix', 'KOEI TECMO GAMES CO., LTD.']",['Square Enix'],Paid,2023
