developer,count
Super Sexy Software,1
Blue Sunset Games,1
Loftur Studio,1
HZ3 Software,1
suxamethonium,1
Bigzur Games,1
InnoVision,1
The Voxel Agents,1
Wicked Studios,1
Elven Workshop,1
Noble Muffins,1
Phoenix Interactive Studio,1
TREON Games,1
PT.farm Inc.,1
RebRank,1
1939 Games,1
Nicolas Pierre-Loti-Viaud,1
Straight Right,1
Blackfire,1
Devoga,1
Tom Johnson,1
N-Fusion Interactive,1
JOYCITY,1
Cliffhanger Productions,1
Image Space Incorporated,1
Paranoid Productions,1
Studio TeamShuriken,1
Bob,1
Playboom,1
Halfbus,1
Random Seed Games,1
SD,1
Finalboss game studio,1
Jake Huhman,1
Chris McFarland,1
Super Mega Team,1
SoftWeir Inc.,1
Fineway Studios,1
BULKHEAD,1
Brandon Moore,1
高考恋爱委员会,1
IF Games,1
Old Moon,1
Smoodlez,1
BitFinity,1
Lucasfim,1
Heartbit Interactive,1
Fragment Production Ltd.,1
Cornfox & Brothers Ltd.,1
Red Herring Labs,1
Toyman Interactive,1
Cinopt Studios,1
Hydro Games,1
Chris Hecker,1
John Cimino,1
Anisoptera Games,1
Ramjet Anvil,1
Aegon Games Ltd,1
Carbon,1
Undead Labs,1
TreeFortress Games,1
TNT Team,1
Electric Succubi,1
Pastagames,1
Frozen District,1
YFYX GAMES,1
"GAME ARTS Co., Ltd.",1
OKAM Studio,1
Riya,1
Lighthouse Games Studio,1
"Parody Games, LLC",1
On Target Simulations,1
Tammeka Games,1
"MidBoss, LLC.",1
TURBOGUN,1
Daniel Davies,1
Rude Ghost,1
The Bitfather,1
Charyb Games,1
Relax Minimalism,1
Rumpus,1
Infinite Dreams,1
Aether Studios,1
Mommy's Best Games,1
Blender Foundation,1
ACE MADDOX,1
Cat Rabbit,1
Retronic Games,1
Studio 397,1
"Digits Crossed Interactive, LLC",1
Pipliz,1
Code Club AB,1
Dangerous Derk Interactive,1
Circletempo,1
"S2 Games, LLC",1
Hammer Glass Studio Inc.,1
Hello There Games,1
Baggy Cat Ltd.,1
nDreams,1
Lucasfilm,1
Daniele Ferraro,1
Pixel Hero Games,1
Kite Games,1
Bacon Bandit Games,1
GreyLight Entertainment,1
Berzerk Studio,1
Absolut Soft LLC,1
Sep Reds,1
Binary Fortress Software,1
Zbigniew Ochman,1
Onni Interactive,1
Greendev.,1
studiocime,1
Campo Santo,1
Shenandoah Studio,1
Team Fractal Alligator,1
Overhype Studios,1
HKFiftyOne Games,1
Raptor Byte,1
Totally Games,1
Evan Tognotti,1
LLC Intenzibne,1
Lukas Jaeckel,1
HYDEZEKE,1
Cherry Co. Studios,1
Twelve Tiles,1
1337 & Senri AB,1
Ape Law,1
Valsar,1
Unicube,1
Team 17 Digital Ltd,1
Silent Dreams,1
Magic Sandbox,1
Playsaurus,1
CAVYHOUSE,1
Tlön Studios,1
Red Beat,1
Harvester Games,1
Kronosaur Productions,1
Legend Studio,1
KITATUS STUDIOS,1
Rhema Press,1
Gua,1
Parabole,1
Shokunin,1
Thomas M. Visser,1
Vincent Thiele,1
"MicroProse Software, Inc.",1
Paul Cuisset,1
VooFoo Studios,1
Urban Games,1
Beatshapers,1
Can Explode,1
Highcastle Studios,1
Adam Saltsman,1
Robin Arnott,1
gamigo US Inc.,1
Freedom Factory,1
b-alive gmbh,1
Ubisoft Quebec,1
Playdead,1
Holden Boyles,1
Ciprian Stanciu,1
Nano Games sp. z o.o.,1
"Bat Country Games, LLC",1
Atypical Games,1
GabberGames.com,1
Smartly Dressed Games,1
Stolen Couch Games,1
Videocult,1
Landon Podbielski,1
BlueLine Games,1
DotEmu SAS.,1
Quantic Dream,1
Aspyr Media (remastered version),1
Up Multimedia,1
Graviteam,1
